"","state","account.length","area.code","international.plan","voice.mail.plan","number.vmail.messages","total.day.minutes","total.day.calls","total.day.charge","total.eve.minutes","total.eve.calls","total.eve.charge","total.night.minutes","total.night.calls","total.night.charge","total.intl.minutes","total.intl.calls","total.intl.charge","number.customer.service.calls","Churn"
"36","11",0.348039215686274,0.0686274509803922,"1","2",0.74,0.640098314606742,0.314285714285714,0.64002478314746,0.56037037037037,0.509433962264151,0.560348583877996,0.323791821561338,0.221153846153846,0.32396694214876,0.81294964028777,0.555555555555556,0.813333333333333,1,"1"
"37","1",0.17156862745098,0,"1","2",0.6,0.381320224719101,0.771428571428571,0.38124741842214,0.357407407407407,0.30188679245283,0.357298474945534,0.236431226765799,0.586538461538462,0.236363636363636,0.798561151079137,0.555555555555556,0.8,0,"1"
"38","20",0.377450980392157,0.0686274509803922,"1","1",0,0.32689606741573,0.161904761904762,0.32693102023957,0.584074074074074,0.641509433962264,0.583877995642702,0.602602230483271,0.576923076923077,0.602479338842975,0.474820143884892,0.444444444444444,0.474666666666667,0.333333333333333,"1"
"39","1",0.661764705882353,0.0686274509803922,"2","2",0.66,0.583567415730337,0.561904761904762,0.583436596447749,0.45037037037037,0.481132075471698,0.450544662309368,0.133828996282528,0.567307692307692,0.133884297520661,0.510791366906475,0.555555555555556,0.512,1,"1"
"40","32",0.725490196078431,0,"1","1",0,0.36060393258427,0.447619047619048,0.360594795539033,0.762222222222222,0.415094339622642,0.762091503267974,0.455762081784387,0.576923076923077,0.455371900826446,0.553956834532374,0.888888888888889,0.554666666666667,0.333333333333333,"1"
"41","11",0.475490196078431,0,"1","1",0,0.311095505617977,0.523809523809524,0.311028500619579,0.373333333333333,0.349056603773585,0.373420479302832,0.453903345724907,0.836538461538462,0.453719008264463,0.431654676258993,0.111111111111111,0.432,1,"1"
"43","3",0.161764705882353,1,"1","1",0,0.305828651685393,0.333333333333333,0.305865344898802,0.800740740740741,0.471698113207547,0.800871459694989,0.913754646840149,0.288461538461538,0.914049586776859,0.474820143884892,0.333333333333333,0.474666666666667,0.666666666666667,"1"
"44","14",0.779411764705882,0.0686274509803922,"1","1",0,0.168890449438202,0.285714285714286,0.168938455183808,0.367777777777778,0.584905660377358,0.367755991285403,0.419330855018587,0.423076923076923,0.41900826446281,0.41726618705036,0.333333333333333,0.416,1,"1"
"45","49",0.308823529411765,1,"1","1",0,0.408356741573034,0.19047619047619,0.408302354399009,0.591851851851852,0.660377358490566,0.591721132897604,0.742007434944238,0.365384615384615,0.742148760330578,0.00719424460431655,0.222222222222222,0.00799999999999998,0.333333333333333,"1"
"46","38",0.284313725490196,0,"1","2",0.56,0.292134831460674,0.476190476190476,0.292028087567121,0.544444444444444,0.415094339622642,0.544662309368192,0.362081784386617,0.653846153846154,0.36198347107438,0.366906474820144,0.444444444444444,0.368,0.666666666666667,"1"
"47","23",0.313725490196078,0.0686274509803922,"1","1",0,0.609550561797753,0.695238095238095,0.609458901280463,0.357777777777778,0.69811320754717,0.357734204793028,0.256505576208178,0.673076923076923,0.256198347107438,0.705035971223022,0.444444444444444,0.704,1,"1"
"48","9",0.691176470588235,0,"1","1",0,0.524227528089888,0.819047619047619,0.524163568773234,0.254074074074074,0.245283018867925,0.254030501089325,0.656133828996282,0.759615384615385,0.656198347107438,0.287769784172662,0.444444444444444,0.288,0.666666666666667,"1"
"50","51",0.470588235294118,0.0686274509803922,"1","2",0.48,0.335323033707865,0.838095238095238,0.335192069392813,0.56,0.0943396226415094,0.559912854030501,0.0182156133828996,0.298076923076923,0.0181818181818182,0.546762589928057,0.222222222222222,0.546666666666667,0.333333333333333,"1"
"51","13",0.25,0,"1","1",0,0.541432584269663,0.580952380952381,0.541305245766212,0.754814814814815,0.452830188679245,0.754684095860567,0.636059479553903,0.375,0.636363636363636,0.316546762589928,0.444444444444444,0.317333333333333,1,"1"
"52","16",0.28921568627451,0,"1","1",0,0.642205056179775,0.0952380952380952,0.64209004543577,0.537407407407407,0.632075471698113,0.537254901960784,0.681412639405204,0.778846153846154,0.681818181818182,0.244604316546763,0.222222222222222,0.245333333333333,0.333333333333333,"1"
"53","46",0.0441176470588235,0,"1","1",0,0.521067415730337,0.619047619047619,0.521065675340768,0.46,0.169811320754717,0.460130718954248,0.807063197026022,0.0865384615384615,0.807438016528925,0.575539568345324,0.555555555555556,0.576,0.666666666666667,"1"
"54","45",0.465686274509804,0.0686274509803922,"1","1",0,0.430126404494382,0.666666666666667,0.42998760842627,0.746296296296296,0.179245283018868,0.74640522875817,0.605204460966543,0.192307692307692,0.60495867768595,0.424460431654676,0.444444444444444,0.424,0.666666666666667,"1"
"56","16",0.392156862745098,0,"1","1",0,0.483848314606742,0.19047619047619,0.483890954151177,0.678888888888889,0.349056603773585,0.678867102396514,0.760223048327137,0.480769230769231,0.760330578512396,0.489208633093525,0.222222222222222,0.488,0.333333333333333,"1"
"57","6",0.686274509803922,0.0686274509803922,"1","1",0,0.313202247191011,0.485714285714286,0.313093762907889,0.422222222222222,0.132075471698113,0.422222222222222,0.279182156133829,0.769230769230769,0.279338842975207,0.330935251798561,0.111111111111111,0.330666666666667,0.333333333333333,"1"
"58","6",0.588235294117647,0,"1","2",0.6,0.564255617977528,0.780952380952381,0.56422965716646,0.0344444444444444,0.273584905660377,0.0344226579520697,0.429368029739777,0.278846153846154,0.428925619834711,0.172661870503597,0.222222222222222,0.173333333333333,1,"2"
"60","37",0.607843137254902,0,"1","1",0,0.672752808988764,0.533333333333333,0.672655927302767,0.412592592592593,0.735849056603774,0.412636165577342,0.459479553903346,0.451923076923077,0.459504132231405,0.618705035971223,0.777777777777778,0.618666666666667,0.333333333333333,"1"
"61","14",0.848039215686274,0,"1","1",0,0.542134831460674,0.476190476190476,0.542131350681537,0.384814814814815,0.433962264150943,0.384749455337691,0.375092936802974,0.0576923076923077,0.375206611570248,0.575539568345324,0.333333333333333,0.576,0.333333333333333,"1"
"62","5",0.563725490196078,0.0686274509803922,"1","2",0.68,0.810744382022472,0.342857142857143,0.810615448161917,0.415555555555556,0.886792452830189,0.415686274509804,0.373977695167286,0.557692307692308,0.373553719008264,0.589928057553957,0.222222222222222,0.589333333333333,0.666666666666667,"1"
"63","24",0.357843137254902,1,"1","2",0.66,0.547752808988764,0.419047619047619,0.547707558859975,0.667037037037037,0.452830188679245,0.667102396514161,0.268773234200744,0.423076923076923,0.268595041322314,0.805755395683453,0.222222222222222,0.805333333333333,0.666666666666667,"1"
"64","42",0.725490196078431,0,"1","2",0.56,0.502106741573034,0.428571428571429,0.502065262288311,0.451111111111111,0.150943396226415,0.450980392156863,0.74275092936803,0.0480769230769231,0.74297520661157,0.661870503597122,0.222222222222222,0.661333333333333,1,"1"
"65","28",0.181372549019608,0,"1","1",0,0.328300561797753,0.485714285714286,0.328170177612557,0.358888888888889,0.462264150943396,0.359041394335512,0.346840148698885,0.557692307692308,0.346280991735537,0.345323741007194,0.555555555555556,0.344,0.666666666666667,"1"
"66","48",0.191176470588235,0.0686274509803922,"1","2",0.82,0.387640449438202,0.257142857142857,0.387649731515902,0.383333333333333,0.377358490566038,0.383442265795207,0.551672862453532,0.519230769230769,0.551239669421488,0.201438848920863,0.444444444444444,0.2,0.666666666666667,"1"
"67","51",0.205882352941176,0.0686274509803922,"2","1",0,0.750702247191011,0.552380952380952,0.750722841800909,0.543703703703704,0.528301886792453,0.543790849673203,0.342379182156134,0.182692307692308,0.342148760330578,0.424460431654676,0.333333333333333,0.424,0,"1"
"68","24",0.549019607843137,0,"2","1",0,0.307233146067416,0.438095238095238,0.307104502271789,0.52,0.669811320754717,0.519825708061002,0.236431226765799,0.875,0.236363636363636,0.352517985611511,0.777777777777778,0.352,0,"1"
"69","45",0.612745098039216,0,"1","1",0,0.61060393258427,0.219047619047619,0.610491532424618,0.558888888888889,0.30188679245283,0.559041394335512,0.32639405204461,0.115384615384615,0.326446280991736,0.316546762589928,0,0.317333333333333,0.333333333333333,"1"
"71","32",0.67156862745098,0,"1","1",0,0.716643258426966,0.438095238095238,0.716646014043784,0.387037037037037,0.330188679245283,0.386928104575163,0.853531598513011,0.538461538461538,0.853719008264463,0.60431654676259,0.666666666666667,0.605333333333333,1,"1"
"72","24",0.78921568627451,1,"1","2",0.92,0.657303370786517,0.476190476190476,0.657166460140438,0.452592592592593,0.339622641509434,0.452723311546841,0.702230483271375,0.125,0.702479338842975,0.625899280575539,0.111111111111111,0.626666666666667,0,"1"
"73","33",0.715686274509804,1,"1","1",0,0.740519662921348,0.342857142857143,0.740396530359355,0.307037037037037,0.349056603773585,0.30718954248366,0.397026022304833,0.586538461538462,0.396694214876033,0.330935251798561,0.333333333333333,0.330666666666667,1,"1"
"74","34",0.436274509803922,0.0686274509803922,"1","1",0,0.581811797752809,0.942857142857143,0.5817843866171,0.595185185185185,0.650943396226415,0.59520697167756,0.322304832713755,0.548076923076923,0.322314049586777,0.280575539568345,0.333333333333333,0.28,0.333333333333333,"1"
"75","12",0.411764705882353,0.0686274509803922,"1","1",0,0.695575842696629,0.59047619047619,0.695580338703015,0.337777777777778,0.433962264150943,0.337690631808279,0.455390334572491,0.490384615384615,0.455371900826446,0.618705035971223,0.222222222222222,0.618666666666667,0,"1"
"76","24",0.240196078431373,0.0686274509803922,"1","1",0,0.419241573033708,0.40952380952381,0.419248244527055,0.582592592592593,0.226415094339623,0.582570806100218,0.430111524163569,0.605769230769231,0.429752066115702,0.194244604316547,0.111111111111111,0.194666666666667,0.333333333333333,"1"
"77","8",0.397058823529412,0.0686274509803922,"1","1",0,0.922050561797753,0.59047619047619,0.921933085501859,0.425925925925926,0.490566037735849,0.426143790849673,0.759851301115242,0.240384615384615,0.759504132231405,0.597122302158273,0.333333333333333,0.597333333333333,0,"2"
"79","24",0.220588235294118,0.0686274509803922,"1","1",0,0.61938202247191,0.238095238095238,0.619372160264353,0.364444444444444,0.528301886792453,0.364270152505447,0.415613382899628,0.625,0.415702479338843,0.345323741007194,0.222222222222222,0.344,0.666666666666667,"1"
"80","21",0.338235294117647,0,"1","1",0,0.465238764044944,0.485714285714286,0.465097067327551,0.33037037037037,0.509433962264151,0.330283224400871,0.605576208178439,0.269230769230769,0.605785123966942,0.834532374100719,0.111111111111111,0.834666666666667,0.333333333333333,"1"
"81","50",0.700980392156863,0.0686274509803922,"1","1",0,0.57373595505618,0.495238095238095,0.573729863692689,0.87962962962963,0.245283018867925,0.879738562091503,0.588475836431227,0.682692307692308,0.588429752066116,0.705035971223022,0.111111111111111,0.704,0.333333333333333,"1"
"82","38",0.563725490196078,0.0686274509803922,"2","1",0,0.623946629213483,0.542857142857143,0.623915737298637,0.514074074074074,0.292452830188679,0.514161220043573,0.791078066914498,0.586538461538462,0.790909090909091,0.661870503597122,0.444444444444444,0.661333333333333,1,"1"
"83","6",0.264705882352941,0,"1","2",0.5,0.449087078651685,0.723809523809524,0.448988021478728,0.25962962962963,0.443396226415094,0.259694989106754,0.408921933085502,0.403846153846154,0.409090909090909,0.546762589928057,0.111111111111111,0.546666666666667,1,"1"
"84","11",0.338235294117647,0.0686274509803922,"1","2",0.48,0.743679775280899,0.514285714285714,0.743700950020653,0.717407407407407,0.471698113207547,0.717211328976035,0.58364312267658,0.192307692307692,0.583471074380165,0.460431654676259,0.333333333333333,0.461333333333333,0.333333333333333,"1"
"85","44",0.514705882352941,1,"1","1",0,0.607092696629213,0.466666666666667,0.60698058653449,0.678518518518519,0.349056603773585,0.67843137254902,0.46728624535316,0.384615384615385,0.46694214876033,0.647482014388489,0,0.648,0.666666666666667,"2"
"86","47",0.622549019607843,1,"1","2",0.58,0.497191011235955,0.542857142857143,0.497108632796365,0.592222222222222,0.358490566037736,0.592156862745098,0.956505576208178,0.288461538461538,0.957024793388429,0.37410071942446,0.666666666666667,0.373333333333333,0,"1"
"88","50",0.53921568627451,1,"1","1",0,0.620084269662921,0.676190476190476,0.619991738950847,0.527777777777778,0.264150943396226,0.527668845315904,0.433828996282528,0.480769230769231,0.433884297520661,0.618705035971223,0.111111111111111,0.618666666666667,0.333333333333333,"1"
"89","18",0.357843137254902,0.0686274509803922,"1","2",0.7,0.408707865168539,0.542857142857143,0.408715406856671,0.212592592592593,0.339622641509434,0.212636165577342,0.507063197026022,0.0865384615384615,0.506611570247934,0.539568345323741,0.888888888888889,0.538666666666667,0.666666666666667,"1"
"90","32",0.622549019607843,0.0686274509803922,"1","1",0,0.702949438202247,0.742857142857143,0.702808756712102,0.672592592592593,0.424528301886792,0.672766884531591,0.532342007434944,0.192307692307692,0.532231404958678,0.755395683453237,0.333333333333333,0.754666666666667,0.333333333333333,"2"
"91","8",0.397058823529412,1,"1","1",0,0.372893258426966,0.133333333333333,0.372779843040066,0.477407407407407,0.537735849056604,0.477559912854031,0.163197026022305,0.442307692307692,0.162809917355372,0.553956834532374,0.111111111111111,0.554666666666667,0.333333333333333,"1"
"92","19",0.754901960784314,0.0686274509803922,"1","1",0,0.581811797752809,0.504761904761905,0.5817843866171,0.462592592592593,0.528301886792453,0.462745098039216,0.484386617100372,0.682692307692308,0.484297520661157,0.39568345323741,0.333333333333333,0.394666666666667,0,"2"
"93","3",0.387254901960784,0.0686274509803922,"1","1",0,0.304073033707865,0.504761904761905,0.304006608839323,0.396296296296296,0.556603773584906,0.396514161220044,0.697026022304833,0.134615384615385,0.696694214876033,0.323741007194245,0.888888888888889,0.322666666666667,0.333333333333333,"1"
"94","22",0.377450980392157,0.0686274509803922,"1","1",0,0.75561797752809,0.438095238095238,0.755472945064023,0.416296296296296,0.60377358490566,0.416122004357299,0.736802973977695,0.548076923076923,0.737190082644628,0.438848920863309,0.666666666666667,0.44,1,"1"
"95","4",0.436274509803922,0.0686274509803922,"1","1",0,0.496488764044944,0.228571428571429,0.496489054109872,0.461481481481481,0.311320754716981,0.461437908496732,0.230483271375465,0.413461538461538,0.230578512396694,0.517985611510791,0.666666666666667,0.517333333333333,1,"1"
"96","1",0.504901960784314,0,"1","1",0,0.845154494382022,0.561904761904762,0.845105328376704,0.0555555555555556,0.613207547169811,0.0557734204793028,0.362453531598513,0.855769230769231,0.36198347107438,0.460431654676259,0.444444444444444,0.461333333333333,0.333333333333333,"1"
"97","27",0.352941176470588,0.0686274509803922,"1","1",0,0.429775280898876,0.6,0.429781082197439,0.545555555555556,0.226415094339623,0.545533769063181,0.402973977695167,0.230769230769231,0.402479338842975,0.690647482014388,0.333333333333333,0.690666666666667,0,"1"
"99","26",0.583333333333333,0,"1","1",0,0.612359550561798,0.8,0.612350268484097,0.531111111111111,0.528301886792453,0.531154684095861,0.377323420074349,0.461538461538462,0.376859504132231,0.136690647482014,0.444444444444444,0.136,0.333333333333333,"2"
"100","14",0.372549019607843,0.0686274509803922,"1","1",0,0.751755617977528,0.238095238095238,0.751755472945064,0.517407407407407,0.735849056603774,0.517211328976035,0.778810408921933,0.586538461538462,0.778512396694215,0.460431654676259,0.666666666666667,0.461333333333333,0.666666666666667,"2"
"102","20",0.524509803921569,0.0686274509803922,"1","1",0,0.493679775280899,0.857142857142857,0.493597686906237,0.455555555555556,0.264150943396226,0.455773420479303,0.235687732342007,0.519230769230769,0.235537190082645,0.805755395683453,0.444444444444444,0.805333333333333,0,"1"
"103","47",0.656862745098039,0.0686274509803922,"1","1",0,0.400280898876404,0.333333333333333,0.400247831474597,0.196296296296296,0.537735849056604,0.196514161220044,0.424907063197026,0.5,0.424793388429752,0.510791366906475,0.555555555555556,0.512,0,"1"
"104","18",0.46078431372549,0,"1","1",0,0.341643258426966,0.495238095238095,0.341594382486576,0.435555555555556,0.547169811320755,0.435729847494553,0.667657992565056,0.519230769230769,0.667768595041322,0.654676258992806,0.888888888888889,0.656,0.333333333333333,"1"
"105","16",0.593137254901961,0,"1","1",0,0.466292134831461,0.447619047619048,0.466336224700537,0.398888888888889,0.575471698113208,0.398692810457516,0.679925650557621,0.259615384615385,0.680165289256198,0.568345323741007,0.111111111111111,0.568,0.333333333333333,"1"
"107","23",0.17156862745098,1,"1","2",0.58,0.855688202247191,0.523809523809524,0.855638166047088,0.504444444444444,0.264150943396226,0.504575163398693,0.451672862453532,0.625,0.451239669421488,0.402877697841727,0.555555555555556,0.402666666666667,0.666666666666667,"1"
"108","33",0.450980392156863,1,"1","2",0.42,0.281601123595506,0.8,0.281495249896737,0.364814814814815,0.632075471698113,0.364705882352941,0.562453531598513,0.365384615384615,0.56198347107438,0.460431654676259,0.222222222222222,0.461333333333333,0.333333333333333,"1"
"109","6",0.686274509803922,0.0686274509803922,"1","2",0.64,0.38939606741573,0.419047619047619,0.389301941346551,0.241111111111111,0.462264150943396,0.240958605664488,0.571375464684015,0.903846153846154,0.571074380165289,0.482014388489209,0,0.482666666666667,0.333333333333333,"1"
"110","45",0.764705882352941,0,"1","1",0,0.674508426966292,0.40952380952381,0.674514663362247,0.303333333333333,0.688679245283019,0.303267973856209,0.653159851301115,0.576923076923077,0.652892561983471,0.446043165467626,0.666666666666667,0.445333333333333,1,"1"
"111","23",0.583333333333333,0,"1","1",0,0.446980337078652,0.504761904761905,0.446922759190417,0.93037037037037,0.330188679245283,0.930283224400872,0.198884758364312,0.365384615384615,0.198347107438017,0.352517985611511,0.777777777777778,0.352,0.333333333333333,"1"
"112","20",0.5,0.0686274509803922,"1","1",0,0.517205056179775,0.666666666666667,0.517141676992978,0.582592592592593,0.433962264150943,0.582570806100218,0.584014869888476,0.413461538461538,0.584297520661157,0.661870503597122,0.111111111111111,0.661333333333333,0.666666666666667,"1"
"114","9",0.607843137254902,0,"1","1",0,0.3125,0.580952380952381,0.312474184221396,0.518518518518518,0.39622641509434,0.518518518518519,0.676951672862454,0.634615384615385,0.676859504132231,0.712230215827338,0.666666666666667,0.712,0.333333333333333,"1"
"115","4",0.303921568627451,0.0686274509803922,"1","1",0,0.074438202247191,0.742857142857143,0.0743494423791821,0.383703703703704,0.10377358490566,0.383877995642701,0.541635687732342,0.384615384615385,0.541322314049587,0.431654676258993,0.222222222222222,0.432,0.333333333333333,"1"
"118","34",0.357843137254902,0.0686274509803922,"1","1",0,0.859550561797753,0.638095238095238,0.859562164394878,0.57,0,0.569934640522876,0.387732342007435,0.644230769230769,0.387603305785124,0.431654676258993,0.333333333333333,0.432,0.333333333333333,"2"
"119","25",0.544117647058823,1,"1","2",0.72,0.26685393258427,0.666666666666667,0.266831887649731,0.338888888888889,0.320754716981132,0.338997821350763,0.415985130111524,0.673076923076923,0.415702479338843,0.474820143884892,0.222222222222222,0.474666666666667,0.666666666666667,"1"
"120","14",0.470588235294118,0,"1","1",0,0.709620786516854,0.742857142857143,0.709624122263527,0.551111111111111,0.594339622641509,0.55119825708061,0.288475836431227,0.317307692307692,0.288429752066116,0.381294964028777,0.444444444444444,0.381333333333333,0.666666666666667,"1"
"121","30",0.220588235294118,0,"1","1",0,0.605688202247191,0.428571428571429,0.605534902932672,0.597407407407407,0.273584905660377,0.597385620915033,0.499628252788104,0.653846153846154,0.499173553719008,0.697841726618705,0.666666666666667,0.698666666666667,0.333333333333333,"1"
"122","44",0.196078431372549,0,"1","2",0.44,0.618328651685393,0.523809523809524,0.618339529120198,0.280740740740741,0.358490566037736,0.280610021786492,0.284386617100372,0.721153846153846,0.284297520661157,0.273381294964029,0.222222222222222,0.272,0,"1"
"123","21",0.588235294117647,1,"1","1",0,0.537219101123595,0.533333333333333,0.537174721189591,0.435185185185185,0.650943396226415,0.435294117647059,0.576579925650558,0.528846153846154,0.576859504132231,0.460431654676259,0.333333333333333,0.461333333333333,1,"1"
"124","26",0.941176470588235,0.0686274509803922,"1","1",0,0.467696629213483,0.733333333333333,0.467575382073523,0.245555555555556,0.443396226415094,0.245751633986928,0.17546468401487,0.394230769230769,0.175206611570248,0.589928057553957,0.222222222222222,0.589333333333333,0.333333333333333,"1"
"125","34",0.632352941176471,1,"1","1",0,0.409058988764045,0.685714285714286,0.408921933085502,0.163703703703704,0.471698113207547,0.163834422657952,0.601115241635688,0.663461538461538,0.600826446280992,0.41726618705036,0.444444444444444,0.416,0.666666666666667,"1"
"126","4",0.411764705882353,0,"1","1",0,0.574789325842697,0.0476190476190476,0.574762494836844,0.605185185185185,0.528301886792453,0.605228758169935,0.694423791821561,0.557692307692308,0.694214876033058,0.618705035971223,0.222222222222222,0.618666666666667,0.333333333333333,"1"
"129","44",0.446078431372549,0,"1","1",0,0.189606741573034,0.40952380952381,0.189591078066914,0.472962962962963,0.707547169811321,0.47276688453159,0.40631970260223,0.365384615384615,0.406611570247934,0.41726618705036,0.333333333333333,0.416,0.666666666666667,"1"
"130","30",0.637254901960784,0,"1","2",0.72,0.619733146067416,0.647619047619048,0.619578686493185,0.354444444444444,0.650943396226415,0.354248366013072,0.739776951672863,0.519230769230769,0.739669421487603,0.438848920863309,0.333333333333333,0.44,1,"1"
